SEX,INSR_BEGIN,INSR_END,EFFECTIVE_YR,INSR_TYPE,INSURED_VALUE,PREMIUM,OBJECT_ID,PROD_YEAR,SEATS_NUM,CARRYING_CAPACITY,TYPE_VEHICLE,CCM_TON,MAKE,USAGE,CLAIM_PAID
0,08-Aug-13,07-Aug-14,8,1202,519755.22,7209.14,5000029885,2007,4,6,Pick-up,3153,NISSAN,Own Goods,
0,08-Aug-12,07-Aug-13,8,1202,519755.22,7203.89,5000029885,2007,4,6,Pick-up,3153,NISSAN,Own Goods,
0,08-Aug-11,07-Aug-12,8,1202,519755.22,7045.804,5000029885,2007,4,6,Pick-up,3153,NISSAN,Own Goods,
0,08-Jul-11,07-Aug-11,8,1202,519755.22,287.25,5000029885,2007,4,6,Pick-up,3153,NISSAN,Own Goods,
0,08-Aug-13,07-Aug-14,8,1202,285451.24,4286.9,5000029901,2010,4,7,Pick-up,2494,TOYOTA,Own Goods,19894.43
0,08-Aug-12,07-Aug-13,8,1202,285451.24,4286.65,5000029901,2010,4,7,Pick-up,2494,TOYOTA,Own Goods,26916.44
0,08-Aug-11,07-Aug-12,8,1202,285451.24,4123.564,5000029901,2010,4,7,Pick-up,2494,TOYOTA,Own Goods,
0,08-Jul-11,07-Aug-11,8,1202,285451.24,155.01,5000029901,2010,4,7,Pick-up,2494,TOYOTA,Own Goods,
0,08-Jul-12,07-Jul-13,11,1201,200000,3452.65,5000030346,1982,10,,Station Wagones,4164,TOYOTA,Private,
0,08-Aug-11,07-Jul-12,11,1201,200000,3077.54,5000030346,1982,10,,Station Wagones,4164,TOYOTA,Private,
0,08-Jul-11,07-Aug-11,1,1201,200000,111.22,5000030346,1982,10,,Station Wagones,4164,TOYOTA,Private,
1,24-Nov-13,23-Nov-14,12,1202,3400000,44618.41,5000030358,2012,0,220,Truck,12880,IVECO,General Cartage,
1,28-Nov-12,27-Nov-13,12,1202,0,3427.75,5000030358,2012,0,220,Truck,12880,IVECO,General Cartage,
1,24-Nov-12,23-Nov-13,12,1202,3200000,53018.73,5000030358,2012,0,220,Truck,12880,IVECO,General Cartage,
1,21-Sep-13,20-Sep-14,13,1202,0,2403.82,5000030363,1998,11,11,Bus,2985,TOYOTA,Fare Paying Passengers,
1,01-Dec-11,30-Nov-12,11,1202,0,2512.27,5000030375,1990,12,0,Bus,2279,TOYOTA,Taxi,
1,10-Sep-11,09-Sep-12,7,1201,152038,3747.89,5000030533,2004,5,,Automobile,1995,TOYOTA,Private,
0,04-Dec-11,03-Dec-12,61,1201,400000,6258.45,5000030538,2005,4,,Automobile,1794,TOYOTA,Private,
1,12-Dec-13,11-Dec-14,6,1202,1636927.58,20193.64,5000031227,2008,1,153,Truck,11945,MITSUBISHI,General Cartage,
1,12-Dec-12,11-Dec-13,6,1202,1636927.58,21551.76,5000031227,2008,1,153,Truck,11945,MITSUBISHI,General Cartage,
1,12-Dec-11,11-Dec-12,6,1202,1636927.58,12364.956,5000031227,2008,1,153,Truck,11945,MITSUBISHI,General Cartage,
2,09-Jan-14,08-Jan-15,14,1202,300000,11755.08,5000031259,1999,11,0,Bus,2985,TOYOTA,Fare Paying Passengers,
2,03-Aug-12,02-Aug-13,12,1202,350000,14650.95,5000031259,1999,11,0,Bus,2985,TOYOTA,Fare Paying Passengers,
1,03-Aug-11,02-Aug-12,74,1202,350000,10364.6,5000031259,1999,11,0,Bus,2985,TOYOTA,Fare Paying Passengers,
2,20-Oct-12,19-Oct-13,12,1202,0,1803.65,5000031260,1995,11,0,Bus,2779,TOYOTA,Taxi,
1,18-Dec-12,17-Dec-13,11,1202,2363510,29682.18,5000031270,2010,2,18000,Tanker,12880,IVECO,General Cartage,
1,19-Nov-11,18-Nov-12,11,1202,2363510,30371.49,5000031270,2010,2,18000,Tanker,12880,IVECO,General Cartage,105388.2
1,09-Aug-12,08-Aug-13,12,1202,350000,12469.51,5000031274,2000,12,12,Bus,2985,TOYOTA,Fare Paying Passengers,
1,09-Aug-11,08-Aug-12,10,1202,247250,10580.135,5000031274,2000,12,12,Bus,2985,TOYOTA,Fare Paying Passengers,
1,31-Oct-13,30-Oct-14,10,1202,1184500,21482.02,5000031283,1999,0,164.3,Truck,13798,IVECO,General Cartage,
1,28-Oct-12,27-Oct-13,10,1202,1184500,22703.4,5000031283,1999,0,164.3,Truck,13798,IVECO,General Cartage,
